Config, Train_Score, Val_Score
('lbfgs'; 1), 0.9472583333333333, 0.9117
('lbfgs'; 0.1), 0.944625, 0.9182
('lbfgs'; 0.01), 0.9369166666666666, 0.92195
('lbfgs'; 0.001), 0.9219250000000001, 0.91485
('sag'; 1), 0.9350916666666667, 0.9199333333333334
('sag'; 0.1), 0.9348333333333334, 0.91985
('sag'; 0.01), 0.9329541666666665, 0.9196166666666666
('sag'; 0.001), 0.9206708333333333, 0.9135
('saga'; 1), 0.9309583333333332, 0.9189333333333334
('saga'; 0.1), 0.9307916666666667, 0.91885
('saga'; 0.01), 0.9294958333333334, 0.9181666666666667
('saga'; 0.001), 0.9198375000000001, 0.9125666666666665
(lbfgs; 2), 0.9475125, 0.9106666666666665
(lbfgs; 3), 0.9475791666666666, 0.9101166666666668
(lbfgs; 5), 0.9476875, 0.9097333333333333
(lbfgs; 10), 0.9475291666666668, 0.9094
(sag; 2), 0.9351041666666665, 0.9199333333333334
(sag; 3), 0.9351083333333333, 0.9199666666666667
(sag; 5), 0.9351166666666666, 0.9200166666666666
(sag; 10), 0.935125, 0.91995
(saga; 2), 0.9309583333333332, 0.9189666666666666
(saga; 3), 0.9309499999999999, 0.9189833333333333
(saga; 5), 0.9309583333333334, 0.9189999999999999
(saga; 10), 0.9309375, 0.9190333333333334
